"pIC50","SubFPC1","SubFPC2","SubFPC3","SubFPC5","SubFPC9","SubFPC13","SubFPC18","SubFPC49","SubFPC84","SubFPC85","SubFPC88","SubFPC100","SubFPC133","SubFPC135","SubFPC136","SubFPC137","SubFPC171","SubFPC172","SubFPC179","SubFPC180","SubFPC183","SubFPC275","SubFPC279","SubFPC287","SubFPC295","SubFPC302","SubFPC303","SubFPC307"
7.95860731484177,0,3,0,1,0,0,1,0,1,0,2,1,0,0,0,4,2,1,0,0,0,0,0,2,7,7,2,17
7.38721614328026,0,0,0,1,0,0,1,0,1,0,2,1,0,0,0,4,2,1,0,0,0,1,0,2,9,7,2,17
6.95860731484177,0,3,0,1,0,0,1,0,1,0,2,1,0,0,0,4,1,1,0,0,0,0,0,2,7,7,2,17
6.16749108729376,0,2,0,1,0,0,1,0,1,0,2,1,0,0,0,4,0,1,0,0,0,0,0,2,8,5,2,18
5.83564714421556,0,2,0,1,0,0,1,0,1,0,2,1,0,0,0,4,0,1,0,0,0,0,0,2,8,5,2,18
5.30102999566398,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,4,0,0,0,0,0,0,0,4,5,4,0,21
4.86012091359876,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,4,0,0,0,0,0,0,0,4,5,4,0,19
5.07572071393812,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,4,0,0,0,0,0,0,0,4,5,4,0,19
6.46852108295774,0,0,0,0,0,0,1,0,1,0,2,1,0,2,0,4,0,1,0,0,0,1,0,4,9,5,0,19
7.79588001734407,1,0,0,0,0,0,1,0,1,0,2,1,0,2,0,4,0,2,0,0,0,1,0,4,9,6,0,19
8,0,0,0,0,3,0,0,0,1,0,2,1,0,2,0,4,0,2,0,0,1,1,0,4,9,6,0,20
8,1,0,0,0,0,0,1,0,1,0,2,1,0,2,0,4,0,2,0,0,1,1,0,4,9,6,0,19
6,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,4,0,0,0,0,1,1,0,4,7,4,0,19
7.92081875395237,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,4,1,0,0,0,1,1,0,4,9,5,0,19
9,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,4,0,4,0,0,1,1,0,4,9,5,0,19
8.04575749056067,1,0,0,0,0,0,1,0,1,0,2,1,0,1,0,4,0,2,0,0,1,1,0,4,9,6,0,19
8.52287874528034,1,0,0,0,0,0,1,0,1,0,2,1,0,1,0,4,0,2,0,0,1,1,0,4,9,6,0,19
6.5185573714977,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,4,0,0,0,0,1,1,0,4,7,4,0,19
8.69897000433602,0,0,0,0,3,0,0,0,1,0,2,1,0,1,0,4,0,2,0,0,1,1,0,4,9,6,0,20
7.92081875395237,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0,1,0,0,0,1,0,2,5,1,0,22
6.50584540598156,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,1,1,0,0,0,1,0,2,5,1,0,16
